# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.18152,14.71868,4.87099
-0.31778,14.64338,4.41661
-0.14203,14.39696,4.33793
0.00716,15.05140,4.81910
-0.03018,14.65196,4.53681
-0.41360,14.55358,4.48215
0.07350,14.65488,4.76389
-0.23125,14.78882,4.43800
-0.49728,14.66515,4.78301
0.08438,14.75069,4.77917
-0.06814,15.05456,5.17127
0.41565,14.46472,5.10518
-0.11075,14.57566,4.76533
0.23897,14.57398,4.84794
0.29153,14.50276,4.30943
-0.19104,14.46765,4.87836
0.07569,14.65471,4.76439
-0.06740,14.56713,4.78919
-0.26016,14.69109,5.08694
0.02981,14.45837,4.77870
-0.29815,14.71528,4.95697
-0.08541,14.71934,4.45961
0.18486,14.90899,4.96551
-0.22993,14.55454,4.98150
0.38648,14.74006,4.94991
0.01670,14.58160,4.95285
0.11183,14.59752,4.78306
-0.39402,14.50835,4.43668
-0.18133,14.56238,4.89704
0.13610,14.56962,4.62576
-0.01291,14.71736,5.06066
-0.14229,14.41106,4.56625
-0.14944,14.15901,4.59434
0.05202,14.35029,4.50010
0.05090,14.93007,4.60935
-0.13320,14.49078,4.68910
-0.24894,14.64303,4.75131
0.01524,14.65756,4.78857
-0.32308,14.81843,4.95270
0.31876,14.85125,4.92254
-0.22403,14.45824,4.63948
0.05083,14.56869,4.69176
0.29397,14.78333,4.73608
-0.22530,14.78621,4.44760
-0.44395,14.34171,4.90177
-0.04299,14.33230,4.67675
0.40678,14.48948,4.94305
0.24204,14.11506,4.59171
0.07345,14.63503,4.88336
-0.06409,14.92413,4.72144
0.08219,14.52694,4.93342
0.19606,14.53078,4.82859
-0.08363,14.46728,5.11531
-0.23254,14.62869,4.82335
-0.08161,14.24764,4.92792
0.40428,14.64564,4.90006
0.31884,14.63047,4.73902
0.33380,14.71095,4.53092
-0.18136,13.90089,4.67154
-0.09431,14.44869,4.60364
0.30604,14.36235,4.87411
0.04200,14.34769,4.83714
-0.04020,14.50503,4.52492
-0.13940,14.47285,4.80240
0.05358,14.77232,4.65785
-0.33930,14.34475,5.12789
0.01962,14.37550,4.99457
-0.00021,14.65272,4.50553
0.29671,14.65834,4.89614
0.18744,14.60737,4.66257
-0.00623,14.60464,4.49846
0.07436,14.73009,5.22931
0.16353,14.33779,5.13061
-0.08591,14.79529,4.92335
0.22281,14.58222,4.79539
-0.23513,14.59627,4.71035
-0.00800,14.69868,4.84776
0.16273,14.38271,4.52130
0.32632,14.66189,4.52740
0.05731,14.30204,4.79262
0.14686,14.69371,4.76778
-0.02851,14.25496,4.51716
-0.20753,13.98988,5.06599
0.18751,14.71675,4.90721
-0.16005,14.89075,4.67461
0.22078,14.78492,4.76488
0.03408,14.97088,4.34264
0.18082,14.30810,4.97925
0.16083,14.61732,4.60537
-0.15100,14.62580,4.76966
-0.08091,14.20007,5.21690
-0.13483,14.40938,4.87035
0.10501,14.78031,4.87196
0.05177,14.30061,4.79725
0.03008,14.53224,4.91999
0.37294,14.41957,4.76383
-0.11144,14.58556,4.67835
0.15311,14.60054,4.71477
-0.01828,14.46101,4.77393
0.35726,14.69937,4.89340
-0.21911,14.62978,4.78995
0.28738,15.15668,4.56170
-0.03080,14.61616,5.06200
0.02890,14.50075,4.80423
-0.05459,14.65807,4.49268
-0.28606,14.66539,4.92549
-0.42870,14.51458,4.71920
0.24076,14.81990,4.84020
-0.30345,14.25430,4.70721
-0.12893,14.62963,4.72786
-0.06821,15.00093,4.85352
0.23007,14.62899,4.47955
0.00021,14.38542,4.60882
-0.41973,14.40633,4.76973
-0.28436,14.24188,4.77297
-0.44776,14.38603,4.91982
-0.08704,14.15180,5.21027
0.16563,14.36788,4.92293
0.21789,14.78421,4.76736
0.03593,14.58033,4.92707
0.13088,14.62817,4.87238
-0.10584,14.96213,4.49267
0.01949,14.79643,4.82747
-0.06141,14.75157,5.17066
0.14427,14.56780,4.93059
-0.25533,14.29391,4.73792
-0.06714,14.67223,5.04709
-0.00140,14.21286,4.75961
-0.06724,14.64056,4.93191
-0.26427,14.73066,4.49463
-0.51465,14.68703,4.63154
0.06805,14.86772,4.97329
0.13272,14.34509,4.45529
-0.40312,14.94170,4.83095
0.21323,14.76718,4.87740
0.19374,14.32433,4.54424
-0.03263,14.77149,5.02182
-0.12245,14.73992,4.96893
0.23632,14.34760,4.68273
0.11434,14.84370,4.77467
0.34474,14.79019,4.95420
-0.01664,14.60090,4.51140
-0.07749,14.26101,4.50169
-0.22447,15.06703,5.17050
-0.12487,15.09960,4.89289
0.47008,14.73329,4.90937
-0.27785,14.13207,4.82821
-0.39462,14.22107,4.65961
-0.12618,14.97289,4.43279
0.02357,14.87440,4.95546
0.03091,15.09484,4.81265
-0.12951,14.69074,4.96524
-0.18724,14.55519,4.91960
-0.33012,14.40442,4.71340
0.01919,14.82628,4.94844
0.20229,14.30955,4.94487
0.24433,14.69317,5.00518
0.06858,15.00673,4.71376
-0.14122,13.96693,4.83360
0.22085,14.26544,4.89552
-0.06082,14.40379,4.52798
-0.07300,14.55874,4.81628
-0.15927,14.43423,5.03654
-0.18098,14.57115,4.81322
0.02255,14.63814,4.87707
-0.08388,14.39962,4.57080
-0.50126,14.62454,4.69680
0.29345,14.34063,4.99918
-0.15430,14.38733,4.69854
0.32987,14.61310,4.82146
0.05992,14.55026,4.77739
-0.10185,14.44333,4.62142
0.25800,14.56921,4.83400
0.41881,14.22106,4.72208
-0.00563,14.28854,5.22177
