# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.03542,-0.10792,-0.04043
0.00118,-0.03099,-0.05055
-0.00433,-0.03574,-0.01852
-0.00251,-0.01310,-0.04437
0.00423,-0.03070,-0.03805
0.01626,-0.00448,-0.03217
-0.00345,-0.00971,-0.02982
0.00782,-0.03160,-0.06477
0.00476,-0.02697,-0.01048
-0.00650,-0.03626,-0.03798
0.01570,0.00120,-0.03879
0.00862,-0.01908,-0.03745
-0.01347,-0.01185,-0.01275
-0.00783,-0.00750,-0.05832
-0.01712,-0.00330,-0.02443
0.02021,-0.03984,-0.03423
-0.01108,-0.01490,-0.01424
0.01287,-0.01331,-0.03673
0.02207,-0.00486,-0.03929
-0.01175,-0.03831,-0.01353
0.01053,-0.03352,-0.02801
0.01425,-0.02531,-0.04446
0.02186,-0.01688,-0.04950
-0.00616,-0.02454,-0.03823
0.01188,-0.01610,-0.03256
0.00182,-0.02765,-0.03640
-0.01472,-0.00341,-0.02596
0.01964,-0.03123,-0.04092
0.00220,-0.01301,-0.03681
-0.00324,-0.02093,-0.01224
0.01108,-0.01009,-0.02863
-0.01892,-0.01566,-0.04755
0.01182,-0.01317,-0.03259
-0.02232,-0.01216,-0.03144
-0.02252,-0.02419,-0.04165
-0.00840,-0.01596,-0.04738
-0.01092,-0.03877,-0.02803
0.00054,-0.03304,-0.02153
-0.00232,-0.03697,-0.05802
-0.00713,0.00795,-0.03096
-0.00755,-0.03286,-0.02324
0.00964,-0.00426,-0.03120
0.00801,-0.03047,-0.02636
-0.00289,-0.03247,-0.00531
-0.01378,-0.02388,-0.02278
0.00735,-0.00446,-0.04016
0.01087,0.00730,-0.03559
-0.01203,0.01142,-0.01730
0.01016,-0.01288,-0.02442
-0.00733,-0.02701,-0.02342
0.00777,-0.00983,-0.02293
-0.00638,-0.02423,-0.02758
-0.02155,-0.01816,-0.03527
0.00988,0.00776,-0.02103
-0.01246,-0.00938,-0.02733
-0.00168,-0.02707,-0.02017
-0.00558,-0.02730,-0.03161
0.00540,-0.01296,-0.03190
0.01468,-0.02775,-0.02728
-0.00956,-0.03045,-0.04298
0.00150,-0.03936,-0.03608
0.01747,-0.02233,-0.03963
-0.00291,-0.02156,-0.03342
-0.00579,-0.03608,-0.03141
