6 baterias de medição de variância ESTÁTICA
A cada 2 baterias o MCU é reiniciado

	dN	dE	dD	vN	vE	vD	aN	aE	aD
1	0.9782	0.7983	0.2130	0.0906	0.0451	0.1865	2.63e-6	2.98e-6	4.75e-5
2	1.2106	2.1765	0.1388	0.0506	0.0480	0.0686	3.06e-6	4.21e-6	4.66e-5
media	1.0944	1.4874	0.1759	0.0706	0.0466	0.1276	2.85e-6	3.60e-6	4.71e-5

3	3.4286	0.6414	0.1799	0.0583	0.0226	0.0925	1.87e-6	2.14e-6	3.76e-5
4	3.0369	1.2988	0.2001	0.0492	0.0210	0.0604	1.57e-6	2.09e-6	3.73e-5
media	3.2328	0.9701	0.1900	0.0538	0.0218	0.0765	1.72e-6	2.12e-6	3.75e-5

5	0.8007	0.6770	0.0342	0.0193	0.0158	0.0092	2.06e-6	2.02e-6	3.94e-5
6	1.1614	0.5723	0.0984	0.0511	0.0383	0.0452	2.44e-6	2.71e-6	4.24e-5
media	0.9811	0.6247	0.0663	0.0352	0.0271	0.0272	2.25e-6	2.37e-6	4.09e-5

MEDIA	1.7694	1.0274	0.1441	0.0532	0.0318	0.0771	2.27e-6	2.70e-6	4.18e-5





